# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
zstd (fast) (v1.4.9) (level 100)   2748102     36    21  Ok
zstd (fast) (v1.4.9) (level 1000)  2968165     20    21  Ok

## Results for examples/database.csv:

Tool                                     CS      CT    DT  Result
---------------------------------  --------  ------  ----  --------
cat (v8.32) (level 0)              59392986     119   120  Ok
brotli (v1.0.9) (level 0)           7292500     319   370  Ok
brotli (v1.0.9) (level 1)           5542663     420   420  Ok
brotli (v1.0.9) (level 2)           4408093     870   319  Ok
brotli (v1.0.9) (level 3)           4259378    1022   320  Ok
brotli (v1.0.9) (level 4)           4259038    1773   269  Ok
brotli (v1.0.9) (level 5)           3678249    3228   272  Ok
brotli (v1.0.9) (level 6)           3640781    4130   269  Ok
brotli (v1.0.9) (level 7)           3579293    5835   270  Ok
brotli (v1.0.9) (level 8)           3537585    8494   270  Ok
brotli (v1.0.9) (level 9)           3288788   13107   270  Ok
brotli (v1.0.9) (level 10)          2543981  194981   322  Ok
brotli (v1.0.9) (level 11)          2371933  535293   321  Ok
brotli (long) (v1.0.9) (level 0)    7292500     370   370  Ok
brotli (long) (v1.0.9) (level 1)    5542663     420   420  Ok
brotli (long) (v1.0.9) (level 2)    4408093     921   372  Ok
brotli (long) (v1.0.9) (level 3)    4259378    1122   370  Ok
brotli (long) (v1.0.9) (level 4)    4259038    1874   320  Ok
brotli (long) (v1.0.9) (level 5)    3678249    3535   321  Ok
brotli (long) (v1.0.9) (level 6)    3640781    4484   270  Ok
brotli (long) (v1.0.9) (level 7)    3579293    6488   270  Ok
brotli (long) (v1.0.9) (level 8)    3537585    9951   322  Ok
brotli (long) (v1.0.9) (level 9)    3288788   14465   271  Ok
brotli (long) (v1.0.9) (level 10)   2543981  205998   320  Ok
brotli (long) (v1.0.9) (level 11)   2371933  524347   270  Ok
bzip2 (v1.0.8) (level 1)            3140159   17133  2678  Ok
bzip2 (v1.0.8) (level 2)            3198738   18124  2929  Ok
bzip2 (v1.0.8) (level 3)            2891102   18626  3079  Ok
bzip2 (v1.0.8) (level 4)            2831627   19330  3078  Ok
bzip2 (v1.0.8) (level 5)            2822423   19833  3330  Ok
bzip2 (v1.0.8) (level 6)            2715259   20032  2927  Ok
bzip2 (v1.0.8) (level 7)            2623106   18674  2928  Ok
bzip2 (v1.0.8) (level 8)            2608192   18776  3028  Ok
bzip2 (v1.0.8) (level 9)            2624003   19378  3078  Ok
gzip (v1.10) (level 1)              7314763    1573   871  Ok
gzip (v1.10) (level 2)              7244970    1723   872  Ok
gzip (v1.10) (level 3)              7039713    2678   872  Ok
gzip (v1.10) (level 4)              6274230    2176   873  Ok
gzip (v1.10) (level 5)              6250346    3128   871  Ok
gzip (v1.10) (level 6)              6174272    6690   823  Ok
