# Ultimate compression benchmark

## Results for examples/database.sql:

Tool                                    CS     CT    DT  Result
brotli (v1.0.9) (level 6)          1048581    73    15  Ok
brotli (v1.0.9) (level 7)          1048581    73    16  Ok
brotli (v1.0.9) (level 8)          1048581   126    23  Ok
brotli (v1.0.9) (level 9)          1048581   124    24  Ok
brotli (v1.0.9) (level 10)         1048581  1479    13  Ok
brotli (v1.0.9) (level 11)         1048581  1877    22  Ok
brotli (long) (v1.0.9) (level 0)   1048584    22    15  Ok
brotli (long) (v1.0.9) (level 1)   1048584    21    16  Ok
brotli (long) (v1.0.9) (level 2)   1048581    22    15  Ok
brotli (long) (v1.0.9) (level 3)   1048581    37    18  Ok
brotli (long) (v1.0.9) (level 4)   1048581    45    23  Ok
brotli (long) (v1.0.9) (level 5)   1048581    70    17  Ok
brotli (long) (v1.0.9) (level 6)   1048581    74    25  Ok
brotli (long) (v1.0.9) (level 7)   1048581    76    24  Ok
brotli (long) (v1.0.9) (level 8)   1048581    71    16  Ok
brotli (long) (v1.0.9) (level 9)   1048581   120    18  Ok
brotli (long) (v1.0.9) (level 10)  1048581  1479    13  Ok
brotli (long) (v1.0.9) (level 11)  1048581  1877    13  Ok
bzip2 (v1.0.8) (level 1)           1057196   627   271  Ok
bzip2 (v1.0.8) (level 2)           1055611   625   270  Ok
bzip2 (v1.0.8) (level 3)           1054977   621   274  Ok
bzip2 (v1.0.8) (level 4)           1054527   572   270  Ok
bzip2 (v1.0.8) (level 5)           1054449   623   323  Ok
bzip2 (v1.0.8) (level 6)           1054058   621   322  Ok
bzip2 (v1.0.8) (level 7)           1054087   622   321  Ok
bzip2 (v1.0.8) (level 8)           1054158   672   322  Ok
bzip2 (v1.0.8) (level 9)           1053399   725   373  Ok
gzip (v1.10) (level 1)             1048754   170    39  Ok
gzip (v1.10) (level 2)             1048754   176    38  Ok
gzip (v1.10) (level 3)             1048754   171    37  Ok
gzip (v1.10) (level 4)             1048754   175    44  Ok
gzip (v1.10) (level 5)             1048754   180    40  Ok
gzip (v1.10) (level 6)             1048754   173    39  Ok
gzip (v1.10) (level 7)             1048754   173    38  Ok
gzip (v1.10) (level 8)             1048754   171    42  Ok
gzip (v1.10) (level 9)             1048754   173    38  Ok
lizard (v1.0.0) (level 10)         1048595    27    12  Ok
lizard (v1.0.0) (level 11)         1048595    23    13  Ok
lizard (v1.0.0) (level 12)         1048595   122    15  Ok
lizard (v1.0.0) (level 13)         1048595   175    14  Ok
lizard (v1.0.0) (level 14)         1048595   173     9  Ok
lizard (v1.0.0) (level 15)         1048595   169     9  Ok
lizard (v1.0.0) (level 16)         1048595   121     9  Ok
lizard (v1.0.0) (level 17)         1048595   121    11  Ok
lizard (v1.0.0) (level 18)         1048595   172    10  Ok
lizard (v1.0.0) (level 19)         1048595   221    15  Ok
lizard (v1.0.0) (level 20)         1048595    23    18  Ok
lizard (v1.0.0) (level 21)         1048595    76    10  Ok
lizard (v1.0.0) (level 22)         1048595   122    18  Ok
lizard (v1.0.0) (level 23)         1048595   277    14  Ok
lizard (v1.0.0) (level 24)         1048595   323    15  Ok
lizard (v1.0.0) (level 25)         1048595   325     9  Ok
lizard (v1.0.0) (level 26)         1048595   270    15  Ok
lizard (v1.0.0) (level 27)         1048595   272    17  Ok
lizard (v1.0.0) (level 28)         1048595   272    11  Ok
lizard (v1.0.0) (level 29)         1048595   271    14  Ok
lizard (v1.0.0) (level 30)         1048595    14    11  Ok
lizard (v1.0.0) (level 31)         1048595    22    14  Ok
lizard (v1.0.0) (level 32)         1048595    72    15  Ok
lizard (v1.0.0) (level 33)         1048595   123     9  Ok
lizard (v1.0.0) (level 34)         1048595   121    16  Ok
lizard (v1.0.0) (level 35)         1048595   120    11  Ok
lizard (v1.0.0) (level 36)         1048595   173    16  Ok
lizard (v1.0.0) (level 37)         1048595   175    15  Ok
lizard (v1.0.0) (level 38)         1048595   172     9  Ok
lizard (v1.0.0) (level 39)         1048595   270    16  Ok
lizard (v1.0.0) (level 40)         1048595    23    16  Ok
lizard (v1.0.0) (level 41)         1048595    71    18  Ok
lizard (v1.0.0) (level 42)         1048595   124     9  Ok
lizard (v1.0.0) (level 43)         1048595   220     8  Ok
lizard (v1.0.0) (level 44)         1048595   270    11  Ok
lizard (v1.0.0) (level 45)         1048595   271     9  Ok
lizard (v1.0.0) (level 46)         1048595   269     9  Ok
lizard (v1.0.0) (level 47)         1048595   270    15  Ok
lizard (v1.0.0) (level 48)         1048595   272     9  Ok
lizard (v1.0.0) (level 49)         1048595   270    14  Ok
lz4 (v1.9.3) (level 1)             1048595    15    16  Ok
lz4 (v1.9.3) (level 2)             1048595    23    15  Ok
lz4 (v1.9.3) (level 3)             1048595   178    10  Ok
lz4 (v1.9.3) (level 4)             1048595   169     8  Ok
lz4 (v1.9.3) (level 5)             1048595   168    10  Ok
lz4 (v1.9.3) (level 6)             1048595   171     9  Ok
lz4 (v1.9.3) (level 7)             1048595   169    13  Ok
lz4 (v1.9.3) (level 8)             1048595   170     9  Ok
lz4 (v1.9.3) (level 9)             1048595   170    12  Ok
lz4 (v1.9.3) (level 10)            1048595   171    15  Ok
lz4 (v1.9.3) (level 11)            1048595   172     9  Ok
lz4 (v1.9.3) (level 12)            1048595   169    13  Ok
lzf (vNone) (level 1)              1048661    39     9  Ok
lzf (vNone) (level 2)              1048661    37    10  Ok
lzf (vNone) (level 3)              1048661    39     9  Ok
lzf (vNone) (level 4)              1048661    37     8  Ok
lzf (vNone) (level 5)              1048661    37    13  Ok
lzf (vNone) (level 6)              1048661    71    11  Ok
lzf (vNone) (level 7)              1048661    72    10  Ok
lzf (vNone) (level 8)              1048661    73    11  Ok
lzf (vNone) (level 9)              1048661    71    12  Ok
lzf (vNone) (level 10)             1048661    71    11  Ok
lzf (vNone) (level 11)             1048661    72    10  Ok
lzf (vNone) (level 12)             1048661    72    10  Ok
lzma (v5.2.5) (level 1)            1063711   872   321  Ok
lzma (v5.2.5) (level 2)            1063711   771   321  Ok
lzma (v5.2.5) (level 3)            1063711   774   321  Ok
lzma (v5.2.5) (level 4)            1062866   772   321  Ok
lzma (v5.2.5) (level 5)            1062866   771   323  Ok
lzma (v5.2.5) (level 6)            1062866   772   321  Ok
lzma (v5.2.5) (level 7)            1062866   823   320  Ok
lzma (v5.2.5) (level 8)            1062866   871   321  Ok
lzma (v5.2.5) (level 9)            1062866   872   324  Ok
lzop (v1.04) (level 1)             1048666    12    13  Ok
lzop (v1.04) (level 2)             1048666    12    13  Ok
lzop (v1.04) (level 3)             1048666    14    15  Ok
lzop (v1.04) (level 4)             1048666    13    14  Ok
lzop (v1.04) (level 5)             1048666    13    13  Ok
lzop (v1.04) (level 6)             1048666    14    16  Ok
lzop (v1.04) (level 7)             1048666   220    15  Ok
lzop (v1.04) (level 8)             1048666   421    14  Ok
lzop (v1.04) (level 9)             1048666   423    13  Ok
lzturbo (v1.2) (level 10)          1048609    15    11  Ok
lzturbo (v1.2) (level 11)          1048609    21    13  Ok
lzturbo (v1.2) (level 12)          1048609    73    14  Ok
lzturbo (v1.2) (level 19)          1048609   626     8  Ok
lzturbo (v1.2) (level 20)          1048609    20    13  Ok
lzturbo (v1.2) (level 21)          1048609    24    14  Ok
lzturbo (v1.2) (level 22)          1048609   172    14  Ok
lzturbo (v1.2) (level 29)          1048609   624     9  Ok
lzturbo (v1.2) (level 30)          1048609    12    14  Ok
lzturbo (v1.2) (level 31)          1048609    22    14  Ok
lzturbo (v1.2) (level 32)          1048609   275    14  Ok
lzturbo (v1.2) (level 39)          1048609   775    13  Ok
lzturbo (v1.2) (level 49)          1048609  1230    13  Ok
xz (v5.2.5) (level 1)              1048688   821    22  Ok
xz (v5.2.5) (level 2)              1048688   775    21  Ok
xz (v5.2.5) (level 3)              1048688   722    21  Ok
xz (v5.2.5) (level 4)              1048688   821    24  Ok
xz (v5.2.5) (level 5)              1048688   778    15  Ok
xz (v5.2.5) (level 6)              1048688   772    21  Ok
xz (v5.2.5) (level 7)              1048688   821    22  Ok
xz (v5.2.5) (level 8)              1048688   876    21  Ok
xz (v5.2.5) (level 9)              1048688   873    22  Ok
zstd (v1.4.9) (level 1)            1048610    22    13  Ok
zstd (v1.4.9) (level 2)            1048610    20    15  Ok
zstd (v1.4.9) (level 3)            1048610    21    19  Ok
zstd (v1.4.9) (level 4)            1048610    22    14  Ok
zstd (v1.4.9) (level 5)            1048610    70    15  Ok
zstd (v1.4.9) (level 6)            1048610    69    26  Ok
zstd (v1.4.9) (level 7)            1048610    73    13  Ok
zstd (v1.4.9) (level 8)            1048610    72    14  Ok
zstd (v1.4.9) (level 9)            1048610    73    23  Ok
zstd (v1.4.9) (level 10)           1048610    71    13  Ok
zstd (v1.4.9) (level 11)           1048610   122    14  Ok
zstd (v1.4.9) (level 12)           1048610   122    14  Ok
zstd (v1.4.9) (level 13)           1048610   123    14  Ok
zstd (v1.4.9) (level 14)           1048610   174    13  Ok
zstd (v1.4.9) (level 15)           1048610   173    13  Ok
zstd (v1.4.9) (level 16)           1048610   321    14  Ok
zstd (v1.4.9) (level 17)           1048610   370    16  Ok
zstd (v1.4.9) (level 18)           1048610   421    13  Ok
zstd (v1.4.9) (level 19)           1048610   472    13  Ok
zstd (long) (v1.4.9) (level 1)     1048610    41    13  Ok
zstd (long) (v1.4.9) (level 2)     1048610    39    14  Ok
zstd (long) (v1.4.9) (level 3)     1048610    40    14  Ok
zstd (long) (v1.4.9) (level 4)     1048610    37    16  Ok
zstd (long) (v1.4.9) (level 5)     1048610    72    14  Ok
zstd (long) (v1.4.9) (level 6)     1048610    71    16  Ok
zstd (long) (v1.4.9) (level 7)     1048610    72    25  Ok
zstd (long) (v1.4.9) (level 8)     1048610    71    14  Ok
zstd (long) (v1.4.9) (level 9)     1048610    70    13  Ok
zstd (long) (v1.4.9) (level 10)    1048610   119    13  Ok
zstd (long) (v1.4.9) (level 11)    1048610   120    12  Ok
zstd (long) (v1.4.9) (level 12)    1048610   122    17  Ok
zstd (long) (v1.4.9) (level 13)    1048610   122    13  Ok
zstd (long) (v1.4.9) (level 14)    1048610   118    12  Ok
zstd (long) (v1.4.9) (level 15)    1048610   168    13  Ok
zstd (long) (v1.4.9) (level 16)    1048610   371    13  Ok
zstd (long) (v1.4.9) (level 17)    1048610   319    13  Ok
zstd (long) (v1.4.9) (level 18)    1048610   369    13  Ok
zstd (long) (v1.4.9) (level 19)    1048610   419    13  Ok
zstd (ultra) (v1.4.9) (level 1)    1048610    36    13  Ok
zstd (ultra) (v1.4.9) (level 2)    1048610    71    17  Ok
zstd (ultra) (v1.4.9) (level 3)    1048610    40    16  Ok
zstd (ultra) (v1.4.9) (level 4)    1048610    39    14  Ok
zstd (ultra) (v1.4.9) (level 5)    1048610    68    13  Ok
zstd (ultra) (v1.4.9) (level 6)    1048610    69    13  Ok
zstd (ultra) (v1.4.9) (level 7)    1048610    69    13  Ok
zstd (ultra) (v1.4.9) (level 8)    1048610    69    13  Ok
zstd (ultra) (v1.4.9) (level 9)    1048610    69    13  Ok
zstd (ultra) (v1.4.9) (level 10)   1048610    69    14  Ok
zstd (ultra) (v1.4.9) (level 11)   1048610   120    14  Ok
zstd (ultra) (v1.4.9) (level 12)   1048610   119    14  Ok
zstd (ultra) (v1.4.9) (level 13)   1048610   119    15  Ok
zstd (ultra) (v1.4.9) (level 14)   1048610   172    13  Ok
zstd (ultra) (v1.4.9) (level 15)   1048610   170    14  Ok
zstd (ultra) (v1.4.9) (level 16)   1048610   320    14  Ok
zstd (ultra) (v1.4.9) (level 17)   1048610   320    12  Ok
zstd (ultra) (v1.4.9) (level 18)   1048610   370    13  Ok
zstd (ultra) (v1.4.9) (level 19)   1048610   420    13  Ok
zstd (ultra) (v1.4.9) (level 20)   1048610   519    13  Ok
zstd (ultra) (v1.4.9) (level 21)   1048610   720    12  Ok
zstd (ultra) (v1.4.9) (level 22)   1048610  1121    12  Ok
zstd (fast) (v1.4.9) (level 1)     1048610    11    12  Ok
zstd (fast) (v1.4.9) (level 2)     1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 3)     1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 4)     1048610    11    12  Ok
zstd (fast) (v1.4.9) (level 5)     1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 6)     1048610    11    12  Ok
zstd (fast) (v1.4.9) (level 7)     1048610    11    12  Ok
zstd (fast) (v1.4.9) (level 8)     1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 9)     1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 10)    1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 11)    1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 12)    1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 13)    1048610    13    13  Ok
zstd (fast) (v1.4.9) (level 14)    1048610    13    13  Ok
zstd (fast) (v1.4.9) (level 15)    1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 16)    1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 17)    1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 18)    1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 19)    1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 50)    1048610    12    12  Ok
zstd (fast) (v1.4.9) (level 100)   1048610    12    13  Ok
zstd (fast) (v1.4.9) (level 1000)  1048610    12    13  Ok

